date,EIMD
1996-12-31,0.0267226488691707
1997-12-31,0.0492823612434952
1998-12-31,0.00887468624760063
1999-12-31,0.0216370911852465
2000-12-31,0.0371644412093841
2001-12-31,0.013451773400639
2002-12-31,0.00796095600336264
2003-12-31,0.0139162433286929
2004-12-31,0.0257517801052745
2005-12-31,0.00368676148916456
2006-12-31,0.0279996737879234
2007-12-31,0.0275957527387909
2008-12-31,0.0210274753620734
2009-12-31,0.00690988989747795
2010-12-31,0.0388203072444491
2011-12-31,0.0123753506042392
2012-12-31,0.00931050636937546
2013-12-31,0.0175040310070113
2014-12-31,0.0239883110331751
2015-12-31,0.0209861674348778
2016-12-31,0.00510707941281147
2017-12-31,0.0140833498179948
2018-12-31,0.0214762705369783
2019-12-31,0.0173972296308627
