date,EIMD
1954-03-31,0.00155089198671613
1954-06-30,-0.00173793733873257
1954-09-30,-0.00311305612960034
1954-12-31,-0.00338711574177014
1955-03-31,-0.00212975385922137
1955-06-30,0.00069986872083938
1955-09-30,0.00118527310666158
1955-12-31,0.00454423384829597
1956-03-31,0.00638013437249857
1956-06-30,0.00719081640677778
1956-09-30,0.0112313191476076
1956-12-31,0.0119379881034709
1957-03-31,0.0110811726792179
1957-06-30,0.0100801550492445
1957-09-30,0.00761528105783632
1957-12-31,0.00394908532908322
1958-03-31,0.00130423943440367
1958-06-30,0.00485472758511828
1958-09-30,0.000342417710183768
1958-12-31,-0.00120884883173099
1959-03-31,0.00156536760481632
1959-06-30,0.00515720986037303
1959-09-30,0.00676647220636454
1959-12-31,0.00755788521810968
1960-03-31,0.0066004975901017
1960-06-30,0.00160951703609817
1960-09-30,-0.00102953611558679
1960-12-31,0.000249683892731371
1961-03-31,-6.3839188242958e-05
1961-06-30,0.000870925677016634
1961-09-30,0.00438436320358132
1961-12-31,0.00399505255013818
1962-03-31,0.00613343511149138
1962-06-30,0.00574187870792983
1962-09-30,0.0050030277560291
1962-12-31,0.00560719054917758
1963-03-31,0.00465006523508659
1963-06-30,0.00541975633608146
1963-09-30,0.00705653989059607
1963-12-31,0.00677265519084448
1964-03-31,0.00721810261961489
1964-06-30,0.00734914600114208
1964-09-30,0.00589969662079987
1964-12-31,0.00547621130969446
1965-03-31,0.00567150683300712
1965-06-30,0.00525010434914122
1965-09-30,0.0078537368939263
1965-12-31,0.0100123182753615
1966-03-31,0.0110477464089893
1966-06-30,0.0120572612355303
1966-09-30,0.00985486374425204
1966-12-31,0.0111628884789744
1967-03-31,0.0100953992154987
1967-06-30,0.010418202541422
1967-09-30,0.011331717420657
1967-12-31,0.0114968918301919
1968-03-31,0.0124955576691157
1968-06-30,0.0125819194952038
1968-09-30,0.0153807219642087
1968-12-31,0.0144890849544091
1969-03-31,0.0161787013499912
1969-06-30,0.014720537687078
1969-09-30,0.015132476316137
1969-12-31,0.0156295193419356
1970-03-31,0.0145936837948391
1970-06-30,0.0173415221576099
1970-09-30,0.0140451716360145
1970-12-31,0.0136846116238155
1971-03-31,0.0135387698733055
1971-06-30,0.0115223433297298
1971-09-30,0.00947864863681179
1971-12-31,0.00905022870376608
1972-03-31,0.00942334368907207
1972-06-30,0.00877738749667385
1972-09-30,0.00734226930254781
1972-12-31,0.00949453403089988
1973-03-31,0.0103535229247641
1973-06-30,0.0135147735979043
1973-09-30,0.0226400963430057
1973-12-31,0.025320312817155
1974-03-31,0.0270713632653231
1974-06-30,0.0245356754077299
1974-09-30,0.0223253606328586
1974-12-31,0.0167583683946107
1975-03-31,0.0143638216241937
1975-06-30,0.012319173688788
1975-09-30,0.00871305391071771
1975-12-31,0.00723907899087769
1976-03-31,0.00662009670104835
1976-06-30,0.00829211422403031
1976-09-30,0.00979788113873575
1976-12-31,0.0110341058050476
