date,EIMD
1954-12-31,-0.00522476373509501
1955-12-31,0.0366375725597119
1956-12-31,0.0407466313398447
1957-12-31,0.00111423390534439
1958-12-31,0.0136077229874949
1959-12-31,0.0083476569620145
1960-12-31,0.0091760944966435
1961-12-31,0.0212779309318608
1962-12-31,0.0293570133378925
1963-12-31,0.0237033629058333
1964-12-31,0.0285934957276219
1965-12-31,0.0369191087279955
1966-12-31,0.0462564735404005
1967-12-31,0.0601577267785661
1968-12-31,0.0573018490608897
1969-12-31,0.0651794681851035
1970-12-31,0.0433734310863969
1971-12-31,0.0237769793564396
1972-12-31,0.0825119844352353
1973-12-31,0.101850212580961
1974-12-31,0.0405244404162699
1975-12-31,0.0375091294399076
1976-12-31,0.0510276644099986
1977-12-31,0.0770287575950578
