date,UIMD
1953-12-31,0.00390968177825327
1954-12-31,0.00847106155948879
1955-12-31,-0.00872107608774752
1956-12-31,-0.0113018689863611
1957-12-31,0.0155718233684676
1958-12-31,0.0013291505839686
1959-12-31,0.00411480835135699
1960-12-31,-0.00280315207168553
1961-12-31,-0.00950256333392632
1962-12-31,-0.0133527293191099
1963-12-31,-0.0121472099803982
1964-12-31,-0.00978048316231122
1965-12-31,-0.00399895515326904
1966-12-31,-0.014078404442113
1967-12-31,-0.0140102011831336
1968-12-31,0.000182903149218649
1969-12-31,-0.0110597708679873
1970-12-31,-0.0114748824138176
1971-12-31,0.00953532684471026
1972-12-31,0.00382348496844923
1973-12-31,0.0126523107410432
1974-12-31,0.0280134612128578
1975-12-31,0.0114998393357014
1976-12-31,0.0135918305998437
1977-12-31,0.00953561450850091
