date,UIMD
2007-07-31,-0.001330386583725
2007-08-31,0.0026609771094723
2007-09-30,0.00149699165595742
2007-10-31,0.00627389572525078
2007-11-30,0.00137457815975345
2007-12-31,0.00195690942906657
2008-01-31,0.000950025199560005
2008-02-29,0.00214139953695286
2008-03-31,0.000880828582247938
2008-04-30,0.0044877910164632
2008-05-31,0.00902370108775685
2008-06-30,0.00570153498316694
2008-07-31,-0.00293438346994461
2008-08-31,-0.000476178009458466
2008-09-30,-0.00944765112410992
2008-10-31,-0.018145818706623
2008-11-30,-0.00823984756714984
2008-12-31,0.00258198947751154
2009-01-31,0.00346991096386927
2009-02-28,-0.00106983667580635
2009-03-31,0.00105895496688298
2009-04-30,0.00150102536304204
2009-05-31,0.00815138664263104
2009-06-30,-0.000448142910164694
2009-07-31,0.00322666124723129
2009-08-31,0.00174205268977758
2009-09-30,0.00247556188302476
2009-10-31,0.00235266439344097
2009-11-30,-0.000846651105102975
2009-12-31,-0.000826795482544812
2010-01-31,-0.00207206100474869
2010-02-28,-0.000977531828342294
2010-03-31,-0.00129595561546267
2010-04-30,-0.00207850004670872
2010-05-31,-0.00186947550104233
2010-06-30,0.000427899732174956
2010-07-31,-2.5091440504918e-05
2010-08-31,-2.53669633294368e-05
2010-09-30,0.00165485014732038
2010-10-31,0.000622292180265729
2010-11-30,0.00215219159396566
2010-12-31,0.00145062129923219
2011-01-31,0.00145695914145166
2011-02-28,0.0036598007136384
2011-03-31,0.00334009575195519
2011-04-30,0.00191117362634774
2011-05-31,-0.00117783481258002
2011-06-30,0.00148403715027505
2011-07-31,0.0020104995067986
2011-08-31,0.00105496958652368
2011-09-30,-0.000442788177773281
2011-10-31,0.000680830202340209
2011-11-30,-0.000959309157841154
2011-12-31,0.00151160158573448
2012-01-31,0.00078521512959078
2012-02-29,0.000518173354128744
2012-03-31,-1.83021001712816e-05
2012-04-30,-0.0038321410646158
2012-05-31,-0.00266112095027752
2012-06-30,-0.00153651862823069
2012-07-31,0.00398318894197431
2012-08-31,0.00290809816657537
2012-09-30,0.00086788826580234
2012-10-31,-0.00344608068033011
2012-11-30,-0.00187247944492339
2012-12-31,0.000278720728923538
2013-01-31,0.00374905089807151
2013-02-28,-0.00439598520827435
2013-03-31,-0.00359268885985937
2013-04-30,-0.000992557491071303
2013-05-31,0.00102710626963207
2013-06-30,0.000636199914181273
2013-07-31,0.00114422826791731
2013-08-31,-0.000756337961231697
2013-09-30,-0.000544785445411787
2013-10-31,0.000787425096323142
2013-11-30,0.00158545463652372
2013-12-31,0.00132661333717177
2014-01-31,5.73224423069431e-06
2014-02-28,0.000923460456680564
2014-03-31,0.000722975811944019
2014-04-30,0.00068349096124705
2014-05-31,7.19132529827719e-05
2014-06-30,-0.000176228273024281
2014-07-31,-0.00147971620631413
2014-08-31,-0.0013099660311737
2014-09-30,-0.00166780783974098
2014-10-31,-0.00349578953995738
2014-11-30,-0.00464735030558605
2014-12-31,-0.00792817641277561
2015-01-31,0.000835557919303502
2015-02-28,0.00109478510908807
2015-03-31,-0.000573900380052967
2015-04-30,0.00162734527736581
2015-05-31,0.0010514557168026
2015-06-30,-0.000121745759540025
2015-07-31,-0.00174845844650166
2015-08-31,-0.00395275463614484
2015-09-30,-0.000671600396820858
2015-10-31,-0.000390994446326614
2015-11-30,-0.002841736602651
2015-12-31,-0.00229641223207136
2016-01-31,-0.00301994634701499
2016-02-29,0.00132257772476417
2016-03-31,0.00196521083631039
2016-04-30,0.000536516888549633
2016-05-31,0.000956728966853989
2016-06-30,-0.0023645435640307
2016-07-31,5.58954590265366e-06
2016-08-31,0.000696711615519831
2016-09-30,0.000268524378406069
2016-10-31,-0.000838906774873462
2016-11-30,0.000539722389129924
2016-12-31,0.00212585231906978
2017-01-31,-0.000286512089080855
2017-02-28,-0.00230270190432931
2017-03-31,-0.000614832127148717
2017-04-30,-0.00261307800128966
2017-05-31,-0.00119637189140595
2017-06-30,-0.00147130281161083
2017-07-31,0.00206689070739839
2017-08-31,0.00334739922828366
2017-09-30,-0.000878763917748616
2017-10-31,0.0010180885937502
2017-11-30,0.000495611582535866
2017-12-31,0.00258564765476919
2018-01-31,0.00096490868667186
2018-02-28,-0.00162292470447412
2018-03-31,0.000787742089392106
2018-04-30,0.000427345661628567
2018-05-31,-0.000927417359103842
2018-06-30,-0.00108096504728604
2018-07-31,-0.000177900676149224
2018-08-31,0.000107841207205244
2018-09-30,0.000411249946976549
2018-10-31,-0.00271228851141543
2018-11-30,-0.00133550634685164
2018-12-31,-0.00223145374889961
2019-01-31,0.000328818266469174
2019-02-28,0.0015367626310188
2019-03-31,0.00226932345133643
2019-04-30,-0.00141478741423848
2019-05-31,-0.0023053643251833
2019-06-30,0.000208808927663103
2019-07-31,-0.000362045502666519
2019-08-31,-9.44379916324089e-05
2019-09-30,0.0010357089696674
2019-10-31,0.000424536059098124
2019-11-30,0.00150852101535069
2019-12-31,9.91115120907047e-06
