date,UITB
2008-03-31,0.36177641780065
2008-06-30,1.12983560021283
2008-09-30,-2.16935024715081
2008-12-31,-0.111764900997481
2009-03-31,-0.0208235340161128
2009-06-30,0.69410865951264
2009-09-30,0.384569022450055
2009-12-31,-0.313718416722959
2010-03-31,-0.320396333526653
2010-06-30,-0.163424548448932
2010-09-30,0.120932660673104
2010-12-31,0.268125745758372
2011-03-31,0.494716481214286
2011-06-30,-0.085720341203243
2011-09-30,-0.0849559071091322
2011-12-31,0.0136984085295149
2012-03-31,-0.256153817668674
2012-06-30,0.0695013975197742
2012-09-30,0.124840116692647
2012-12-31,0.312723772362829
2013-03-31,-0.696897108962959
2013-06-30,0.315403846995231
2013-09-30,-0.0884961763871217
2013-12-31,0.224445745613457
2014-03-31,0.241858674932913
2014-06-30,0.0357533847466507
2014-09-30,-0.241988040298617
2014-12-31,-0.677657092891097
2015-03-31,0.508837702910764
2015-06-30,0.22274299153637
2015-09-30,-0.194705476495065
2015-12-31,-0.498279086506894
2016-03-31,0.517263514921403
2016-06-30,-0.0210182622841113
2016-09-30,0.11512513233519
2016-12-31,0.290350917586342
2017-03-31,-0.447116845202096
2017-06-30,-0.0213562336248453
2017-09-30,0.2336165287059
2017-12-31,0.235883449703843
2018-03-31,-0.0884727192886364
2018-06-30,-0.213941523030879
2018-09-30,-0.244434122512005
2018-12-31,-0.268585353885218
2019-03-31,0.22570355657269
2019-06-30,-0.225178548562082
2019-09-30,0.124640865380108
2019-12-31,0.187980042108065
