date,UITB
2002-12-31,-0.00199009155321256
2003-12-31,1.19565008693933
2004-12-31,0.259453058927713
2005-12-31,-1.47921773887919
2006-12-31,1.63610083246887
2007-12-31,-0.496200838514884
2008-12-31,0.310785039176854
2009-12-31,-0.553834576425017
2010-12-31,1.86299773161267
2011-12-31,0.184533741936045
2012-12-31,-0.378615765261135
2013-12-31,-0.364300567802465
2014-12-31,-1.22326921811601
2015-12-31,-0.122017942780089
2016-12-31,0.0640164111516579
2017-12-31,-0.401692542907096
2018-12-31,-0.0783344672163701
2019-12-31,-0.414063152757671
